Project Name,Checkpoint Name,Created On,File Name,Lines,Statements,Percent Branch Statements,Method Call Statements,Percent Lines with Comments,Classes and Interfaces,Methods per Class,Average Statements per Method,Line Number of Most Complex Method*,Name of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\ComidaRapidaApplication.java,13,7,"0,0",1,"0,0",1,"1,00","1,00",9,ComidaRapidaApplication.main(),1,10,2,"0,43","1,00",5,1,1,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\AdminController.java,272,229,"21,0",117,"2,2",1,"11,00","15,64",100,AdminController.ModelAttribute(),24,226,7,"2,76","5,73",30,27,53,34,42,31,11,1,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\AuthController.java,73,56,"28,6",9,"4,1",1,"3,00","11,33",30,AuthController.RequestParam(),12,54,5,"2,11","4,67",15,7,6,17,7,4,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\GlobalExceptionHandler.java,26,19,"0,0",7,"0,0",1,"1,00","5,00",19,GlobalExceptionHandler.handleAll(),1,20,2,"0,68","1,00",11,3,5,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\GlobalModelAdvice.java,70,53,"22,6",17,"5,7",1,"2,00","18,50",23,GlobalModelAdvice.addSessionAttributes(),13,33,5,"2,92","7,00",11,5,3,9,8,17,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\InventarioController.java,185,132,"8,3",72,"2,7",1,"12,00","7,25",144,InventarioController.SessionAttribute(),9,163,4,"1,70","1,92",18,27,70,11,6,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\LoginController.java,19,11,"0,0",0,"5,3",1,"2,00","1,00",10,LoginController.logoutGet(),1,11,2,"0,73","1,00",5,4,2,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\MvcConfig.java,31,21,"0,0",7,"0,0",1,"2,00","3,50",24,MvcConfig.addResourceHandlers(),2,17,2,"0,95","1,50",8,6,7,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\PageController.java,111,88,"18,2",31,"1,8",1,"7,00","8,71",26,PageController.ensureSessionAttributes(),12,32,5,"2,35","3,29",11,16,28,12,6,15,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\PerfilController.java,72,62,"21,0",22,"1,4",1,"3,00","14,67",41,PerfilController.RequestParam(),11,49,5,"2,11","6,00",12,6,16,20,7,1,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\ProductoController.java,46,33,"0,0",14,"0,0",1,"3,00","6,00",17,ProductoController.listarDisponibles(),1,36,3,"1,48","1,00",9,6,11,7,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\UsuarioController.java,85,63,"23,8",36,"0,0",1,"4,00","10,50",46,UsuarioController.registrar(),12,54,4,"1,86","3,75",13,8,24,11,7,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\VendedorClienteController.java,27,17,"11,8",4,"3,7",1,"2,00","3,00",18,VendedorClienteController.RequestParam(),3,21,3,"1,06","2,00",7,4,4,2,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\VendedorController.java,131,104,"6,7",61,"6,1",1,"7,00","9,71",112,VendedorController.eliminarDetalle(),6,118,3,"1,50","2,29",18,18,66,2,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\controller\VendedorMvcController.java,58,44,"2,3",14,"1,7",1,"5,00","3,80",35,VendedorMvcController.RequestParam(),2,22,2,"1,11","1,20",14,11,19,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\dto\ClienteDto.java,9,7,"0,0",0,"0,0",1,"0,00","0,00",,,0,4,1,"0,71","0,00",2,5,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\dto\DetallePedidoDto.java,8,6,"0,0",0,"0,0",1,"0,00","0,00",,,0,4,1,"0,67","0,00",2,4,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\dto\MateriaPrimaDto.java,9,7,"0,0",0,"0,0",1,"0,00","0,00",,,0,4,1,"0,71","0,00",2,5,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\dto\PedidoDto.java,13,10,"0,0",0,"0,0",1,"0,00","0,00",,,0,7,1,"0,60","0,00",4,6,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\dto\ProductoDto.java,9,7,"0,0",0,"0,0",1,"0,00","0,00",,,0,4,1,"0,71","0,00",2,5,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\dto\UsuarioDto.java,10,8,"0,0",0,"0,0",1,"0,00","0,00",,,0,4,1,"0,75","0,00",2,6,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\dto\UsuarioRegistroDto.java,36,42,"0,0",0,"0,0",1,"16,00","1,00",13,UsuarioRegistroDto.setTelefono(),1,13,2,"1,33","1,00",2,24,16,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\Administrador.java,19,10,"0,0",3,"0,0",1,"3,00","1,00",8,Administrador.desactivarUsuario(),1,9,2,"0,90","1,00",4,3,3,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\Cliente.java,40,38,"0,0",2,"2,5",1,"12,00","1,00",23,Cliente.addPedido(),1,23,2,"1,16","1,00",6,20,12,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\ComposicionProducto.java,35,29,"0,0",0,"5,7",1,"9,00","1,00",21,ComposicionProducto.actualizarCantidad(),1,21,2,"1,17","1,00",4,16,9,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\DetallePedido.java,40,34,"0,0",0,"2,5",1,"11,00","1,00",24,DetallePedido.subtotal(),1,24,2,"1,21","1,00",4,19,11,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\EncargadoInventario.java,30,22,"4,5",11,"0,0",1,"2,00","8,00",18,EncargadoInventario.registrarSalida(),2,20,3,"1,59","1,50",4,2,15,1,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\MateriaPrima.java,50,43,"2,3",0,"4,0",1,"15,00","1,13",46,MateriaPrima.decrementarStock(),2,19,2,"1,30","1,07",4,22,17,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\MovimientoInventario.java,59,47,"4,3",2,"5,1",2,"7,00","1,29",49,MovimientoInventario.aplicarSalida(),2,30,2,"1,28","1,14",5,24,18,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\Pedido.java,61,51,"0,0",4,"3,3",1,"16,00","1,06",31,Pedido.calcularTotal(),1,31,2,"1,20","1,00",7,27,17,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\ProductoComidaRapida.java,58,52,"5,8",6,"5,2",1,"16,00","1,31",46,ProductoComidaRapida.calculaDisponibilidad(),4,49,3,"1,33","1,19",6,25,19,2,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\Usuario.java,61,57,"5,3",4,"3,3",1,"19,00","1,26",48,Usuario.actualizarDatosContacto(),5,23,2,"1,33","1,42",5,28,24,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\model\Vendedor.java,32,20,"0,0",9,"3,1",1,"4,00","3,00",8,Vendedor.confirmarPedido(),1,9,2,"1,40","1,00",4,4,12,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\repository\ClienteRepository.java,9,6,"0,0",0,"0,0",1,"1,00","0,00",,,0,8,1,"0,17","0,00",5,1,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\repository\DetallePedidoRepository.java,7,4,"0,0",0,"0,0",1,"0,00","0,00",,,0,1,0,"0,00","0,00",4,0,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\repository\MateriaPrimaRepository.java,8,5,"0,0",0,"0,0",1,"1,00","0,00",,,0,7,1,"0,20","0,00",4,1,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\repository\MovimientoInventarioRepository.java,7,4,"0,0",0,"0,0",1,"0,00","0,00",,,0,1,0,"0,00","0,00",4,0,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\repository\PedidoRepository.java,8,5,"0,0",0,"0,0",1,"1,00","0,00",,,0,7,1,"0,20","0,00",4,1,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\repository\ProductoRepository.java,7,4,"0,0",0,"0,0",1,"0,00","0,00",,,0,1,0,"0,00","0,00",4,0,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\repository\UsuarioRepository.java,19,13,"0,0",0,"0,0",1,"4,00","0,00",,,0,13,1,"0,31","0,00",9,4,0,0,0,0,0,0,0,0
MetricasAppComidaRapida,MetricasAppComidaRapida,07 sept. 2026,main\java\com\comidarapida\service\ClienteService.java,34,19,"0,0",4,"0,0",1,"5,00","1,00",15,ClienteService.listarTodos(),1,16,2,"0,84","1,00",8,6,5,0,0,0,0,0,0,0
